file_id,file_url,match_date,map_name,roster_type,match_result,our_score,opponent_score
1t6oKyuCjXiKbONVRGzu_90rSf5e5Xe35,https://drive.google.com/file/d/1t6oKyuCjXiKbONVRGzu_90rSf5e5Xe35/view,20260528,cache,mixed,win,13,5
1RVI57MseUBqBS8YxFvqakxm9coRqrOlN,https://drive.google.com/file/d/1RVI57MseUBqBS8YxFvqakxm9coRqrOlN/view,20260528,dust2,mixed,win,13,3
1t3DKBZayJy_SUqlmX-TGrKUTrutQGawq,https://drive.google.com/file/d/1t3DKBZayJy_SUqlmX-TGrKUTrutQGawq/view,20260528,dust2,mixed,win,13,9
1wQffgQnyZ8cs0m6PHgBzJ_7gVDvV1CAn,https://drive.google.com/file/d/1wQffgQnyZ8cs0m6PHgBzJ_7gVDvV1CAn/view,20260529,dust2,subbed,lose,3,13
12tLxoPo2boEf2dIebBCmKkYS6oOdytVH,https://drive.google.com/file/d/12tLxoPo2boEf2dIebBCmKkYS6oOdytVH/view,20260529,dust2,subbed,win,13,11
1UOQR9uE1_Aejzdkau68WekDr8CD6rNA5,https://drive.google.com/file/d/1UOQR9uE1_Aejzdkau68WekDr8CD6rNA5/view,20260530,dust2,full,win,13,1
1Kb-_DOKuIhIJtb5ynouhriw9SaKe4pDW,https://drive.google.com/file/d/1Kb-_DOKuIhIJtb5ynouhriw9SaKe4pDW/view,20260530,dust2,full,win,13,3
1rqsxjFQk6dSozqF3HggjUUoSl_ciIZgS,https://drive.google.com/file/d/1rqsxjFQk6dSozqF3HggjUUoSl_ciIZgS/view,20260530,dust2,full,win,13,9
1ZUr8O8VTeFZWd1Ma6vesHQY5S3y4PKkj,https://drive.google.com/file/d/1ZUr8O8VTeFZWd1Ma6vesHQY5S3y4PKkj/view,20260602,dust2,mixed,lose,9,13
1iSeIS5qSpb-Gne-8eikhg3_3B2iwrk2k,https://drive.google.com/file/d/1iSeIS5qSpb-Gne-8eikhg3_3B2iwrk2k/view,20260602,dust2,mixed,win,13,6
1rOYJe7Xp1w1KedQ7JmeVAclGML5GsfHk,https://drive.google.com/file/d/1rOYJe7Xp1w1KedQ7JmeVAclGML5GsfHk/view,20260605,dust2,subbed,draw,12,12
1RUntxc6aQFLYG7qLdX2PlGe81tKgLK_Z,https://drive.google.com/file/d/1RUntxc6aQFLYG7qLdX2PlGe81tKgLK_Z/view,20260605,dust2,subbed,win,13,9
13oKJWDt0mUi5AdQoZWphcBwhpUkYdncz,https://drive.google.com/file/d/13oKJWDt0mUi5AdQoZWphcBwhpUkYdncz/view,20260612,dust2,full,lose,4,13
1XDiS05FEhriANKR40XmZDpF_2buOru37,https://drive.google.com/file/d/1XDiS05FEhriANKR40XmZDpF_2buOru37/view,20260612,dust2,full,lose,6,13
1f3yA1Ea_PSIWZmIS2_AUQMVdp5xcE6-z,https://drive.google.com/file/d/1f3yA1Ea_PSIWZmIS2_AUQMVdp5xcE6-z/view,20260612,dust2,full,win,13,1
1Dtx7-UQ0knSceGLmsJPZio1AL4PRrl-A,https://drive.google.com/file/d/1Dtx7-UQ0knSceGLmsJPZio1AL4PRrl-A/view,20260612,dust2,full,win,13,9
1seZzj6ln-XFm3M5H14-f0z6xfbZXwn_H,https://drive.google.com/file/d/1seZzj6ln-XFm3M5H14-f0z6xfbZXwn_H/view,20260612,inferno,full,win,13,11
1FjszzDDKzBiCyilyMO3xdwUmShBzpKYT,https://drive.google.com/file/d/1FjszzDDKzBiCyilyMO3xdwUmShBzpKYT/view,20260616,dust2,full,win,13,2
1cxZ023yljssCOjEToIIH06z5JbPLzIcY,https://drive.google.com/file/d/1cxZ023yljssCOjEToIIH06z5JbPLzIcY/view,20260616,nuke,full,win,13,7
1OJgjzQ2xvuWXUFrjhqJfMTx91ls07VNK,https://drive.google.com/file/d/1OJgjzQ2xvuWXUFrjhqJfMTx91ls07VNK/view,20260617,dust2,full,win,13,7
